log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
planning_decision__tier7_ingress__both__t7in_baseline__run3__4d178f83.json,4d178f83,planning_decision,3,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,305.21,308,5,5,True,0,0,0,heuristic,951,3
planning_decision__tier7_ingress__both__t7in_baseline__run4__9783428c.json,9783428c,planning_decision,4,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,131.78,272,5,5,True,0,0,0,heuristic,830,3
planning_decision__tier7_ingress__both__t7in_baseline__run5__28ed4ec5.json,28ed4ec5,planning_decision,5,tier7_ingress__both,t7in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,129.33,245,5,5,True,0,0,0,heuristic,733,3
planning_decision__tier7_ingress__both__t7in_bw50__run1__e611ade8.json,e611ade8,planning_decision,1,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,157.54,263,5,5,True,0,0,0,heuristic,759,3
planning_decision__tier7_ingress__both__t7in_bw50__run2__8e5ecea9.json,8e5ecea9,planning_decision,2,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,287.68,242,5,5,True,0,0,0,heuristic,723,3
planning_decision__tier7_ingress__both__t7in_bw50__run3__c88ef225.json,c88ef225,planning_decision,3,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,383.99,170,5,4,True,0,0,0,heuristic,450,3
planning_decision__tier7_ingress__both__t7in_bw50__run4__9110ced4.json,9110ced4,planning_decision,4,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,122.15,253,5,5,True,0,0,0,heuristic,755,3
planning_decision__tier7_ingress__both__t7in_bw50__run5__a44301bd.json,a44301bd,planning_decision,5,tier7_ingress__both,t7in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,140.96,268,5,5,True,0,0,0,heuristic,788,3
planning_decision__tier7_ingress__both__t7in_delay1000__run1__1714df72.json,1714df72,planning_decision,1,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,302.73,254,5,5,True,0,0,0,heuristic,721,3
planning_decision__tier7_ingress__both__t7in_delay1000__run2__ecad3826.json,ecad3826,planning_decision,2,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,183.33,173,4,4,True,0,0,0,heuristic,432,3
planning_decision__tier7_ingress__both__t7in_delay1000__run3__dc25ef39.json,dc25ef39,planning_decision,3,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,315.11,287,5,5,True,0,0,0,heuristic,870,3
planning_decision__tier7_ingress__both__t7in_delay1000__run4__8ef93460.json,8ef93460,planning_decision,4,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,6,1,374.69,398,5,5,True,0,0,1,heuristic,257,6
planning_decision__tier7_ingress__both__t7in_delay1000__run5__82068732.json,82068732,planning_decision,5,tier7_ingress__both,t7in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,274.42,277,5,5,True,0,0,0,heuristic,852,3
