log_file,run_id,task_name,run_index,phase,scenario_name,scenario_type,delay_ms,requested_delay_ms,jitter_ms,loss_pct,bandwidth_kbit,main_effect_axis,match_id,side,success,rounds,reviewer_rejections,elapsed_seconds,total_tokens,quality_score,ground_truth_score,ground_truth_passed,retry_count,timeout_count,total_error_count,eval_mode,final_answer_length,n_messages
planning_decision__tier8_ingress__both__t8in_baseline__run5__bceb78cf.json,bceb78cf,planning_decision,5,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,6,1,439.03,543,5,5,True,0,0,1,heuristic,651,6
planning_decision__tier8_ingress__both__t8in_bw50__run1__2bbf8397.json,2bbf8397,planning_decision,1,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,125.22,177,5,5,True,0,0,0,heuristic,526,3
planning_decision__tier8_ingress__both__t8in_bw50__run2__3167d2a2.json,3167d2a2,planning_decision,2,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,161.3,289,5,5,True,0,0,0,heuristic,898,3
planning_decision__tier8_ingress__both__t8in_bw50__run3__4494c782.json,4494c782,planning_decision,3,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,108.88,158,5,5,True,0,0,0,heuristic,375,3
planning_decision__tier8_ingress__both__t8in_bw50__run4__07c6bb3a.json,07c6bb3a,planning_decision,4,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,118.6,219,5,4,True,0,0,0,heuristic,623,3
planning_decision__tier8_ingress__both__t8in_bw50__run5__1a2d87ae.json,1a2d87ae,planning_decision,5,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,147.94,252,5,5,True,0,0,0,heuristic,773,3
planning_decision__tier8_ingress__both__t8in_delay1000__run1__b0989df8.json,b0989df8,planning_decision,1,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,128.99,249,5,5,True,0,0,0,heuristic,701,3
planning_decision__tier8_ingress__both__t8in_delay1000__run2__e832f767.json,e832f767,planning_decision,2,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,112.92,238,5,5,True,0,0,0,heuristic,708,3
planning_decision__tier8_ingress__both__t8in_delay1000__run3__f2d64cc3.json,f2d64cc3,planning_decision,3,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,109.58,274,5,5,True,0,0,0,heuristic,837,3
planning_decision__tier8_ingress__both__t8in_delay1000__run4__b266c20e.json,b266c20e,planning_decision,4,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,207.66,192,5,4,True,0,0,0,heuristic,586,3
planning_decision__tier8_ingress__both__t8in_delay1000__run5__28188674.json,28188674,planning_decision,5,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,115.75,295,5,5,True,0,0,0,heuristic,933,3
planning_decision__tier8_ingress__both__t8in_loss75__run1__631b4fef.json,631b4fef,planning_decision,1,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,674.83,126,,1,False,2,0,5,heuristic,0,3
planning_decision__tier8_ingress__both__t8in_loss75__run2__fb271868.json,fb271868,planning_decision,2,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1246.53,126,,1,False,2,1,5,heuristic,0,3
planning_decision__tier8_ingress__both__t8in_loss75__run3__e8bd3ff6.json,e8bd3ff6,planning_decision,3,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1235.14,126,,1,False,2,1,5,heuristic,0,3
planning_decision__tier8_ingress__both__t8in_loss75__run4__48f5678f.json,48f5678f,planning_decision,4,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1374.34,126,,1,False,2,1,5,heuristic,0,3
planning_decision__tier8_ingress__both__t8in_loss75__run5__505aaa29.json,505aaa29,planning_decision,5,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1829.94,126,,1,False,2,0,5,heuristic,0,3
research_summary__tier8_ingress__both__t8in_baseline__run1__89ac33ab.json,89ac33ab,research_summary,1,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,209.59,285,5,3,False,0,0,0,heuristic,919,3
research_summary__tier8_ingress__both__t8in_baseline__run2__d59b1e36.json,d59b1e36,research_summary,2,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,751.86,212,5,2,False,0,0,0,heuristic,653,3
research_summary__tier8_ingress__both__t8in_baseline__run3__4633c557.json,4633c557,research_summary,3,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,183.4,216,5,2,False,0,0,0,heuristic,649,3
research_summary__tier8_ingress__both__t8in_baseline__run4__0c2a3fc8.json,0c2a3fc8,research_summary,4,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,169.35,206,5,2,False,0,0,0,heuristic,644,3
research_summary__tier8_ingress__both__t8in_baseline__run5__1470e4be.json,1470e4be,research_summary,5,tier8_ingress__both,t8in_baseline,ingress_subset,0,0,0,0,,,,,True,3,0,170.65,413,5,3,False,0,0,0,heuristic,1456,3
research_summary__tier8_ingress__both__t8in_bw50__run1__6466e633.json,6466e633,research_summary,1,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,224.62,217,5,4,True,0,0,0,heuristic,656,3
research_summary__tier8_ingress__both__t8in_bw50__run2__dcc26820.json,dcc26820,research_summary,2,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,200.25,288,5,4,True,0,0,0,heuristic,922,3
research_summary__tier8_ingress__both__t8in_bw50__run3__676e0d7c.json,676e0d7c,research_summary,3,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,6,1,402.79,530,5,4,True,0,0,1,heuristic,858,6
research_summary__tier8_ingress__both__t8in_bw50__run4__cbb83bc8.json,cbb83bc8,research_summary,4,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,6,1,1262.23,986,5,4,True,0,0,1,heuristic,2120,6
research_summary__tier8_ingress__both__t8in_bw50__run5__a8f8c189.json,a8f8c189,research_summary,5,tier8_ingress__both,t8in_bw50,ingress_subset,0,0,0,0,50,,,,True,3,0,795.2,241,5,3,False,0,0,0,heuristic,735,3
research_summary__tier8_ingress__both__t8in_delay1000__run1__5bd3dd0e.json,5bd3dd0e,research_summary,1,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,175.67,285,5,5,True,0,0,0,heuristic,910,3
research_summary__tier8_ingress__both__t8in_delay1000__run2__e2fd32c1.json,e2fd32c1,research_summary,2,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,328.11,196,5,3,False,0,0,0,heuristic,566,3
research_summary__tier8_ingress__both__t8in_delay1000__run3__ff88cb09.json,ff88cb09,research_summary,3,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,152.31,209,5,2,False,0,0,0,heuristic,639,3
research_summary__tier8_ingress__both__t8in_delay1000__run4__a10bd4cf.json,a10bd4cf,research_summary,4,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,200.07,357,5,5,True,0,0,0,heuristic,1212,3
research_summary__tier8_ingress__both__t8in_delay1000__run5__9015cf62.json,9015cf62,research_summary,5,tier8_ingress__both,t8in_delay1000,ingress_subset,1000,1000,0,0,,,,,True,3,0,169.94,351,5,4,True,0,0,0,heuristic,1194,3
research_summary__tier8_ingress__both__t8in_loss75__run1__f1a66b1c.json,f1a66b1c,research_summary,1,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,770.42,99,,1,False,2,1,5,heuristic,0,3
research_summary__tier8_ingress__both__t8in_loss75__run2__14e34d69.json,14e34d69,research_summary,2,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1631.2,99,,1,False,2,1,5,heuristic,0,3
research_summary__tier8_ingress__both__t8in_loss75__run3__881f341b.json,881f341b,research_summary,3,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,636.81,99,,1,False,2,0,5,heuristic,0,3
research_summary__tier8_ingress__both__t8in_loss75__run4__59767894.json,59767894,research_summary,4,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1016.53,99,,1,False,2,1,5,heuristic,0,3
research_summary__tier8_ingress__both__t8in_loss75__run5__86a45556.json,86a45556,research_summary,5,tier8_ingress__both,t8in_loss75,ingress_subset,0,0,0,75,,,,,False,1,0,1616.59,99,,1,False,2,1,5,heuristic,0,3
